iter	Passed	Remaining
0	12	8417
1	23	8238
2	35	8149
3	42	7370
4	54	7534
5	67	7861
6	81	8105
7	96	8349
8	107	8251
9	119	8241
10	132	8285
11	144	8292
12	149	7892
13	161	7891
14	171	7850
15	182	7799
16	194	7808
17	206	7821
18	218	7826
19	233	7923
20	246	7961
21	258	7973
22	272	8029
23	285	8036
24	298	8047
25	310	8039
26	321	8004
27	334	8029
28	348	8072
29	359	8036
30	375	8108
31	390	8143
32	404	8178
33	417	8183
34	431	8192
35	444	8204
36	459	8230
37	475	8279
38	489	8289
39	504	8325
40	517	8313
41	530	8315
42	543	8300
43	558	8326
44	574	8357
45	587	8359
46	602	8376
47	617	8385
48	632	8404
49	646	8406
50	660	8406
51	674	8410
52	688	8401
53	702	8409
54	716	8403
55	727	8370
56	742	8374
57	757	8383
58	771	8381
59	786	8386
60	799	8379
61	815	8395
62	829	8389
63	843	8379
64	856	8368
65	871	8370
66	884	8358
67	898	8354
68	911	8331
69	924	8317
70	937	8309
71	951	8303
72	969	8331
73	984	8324
74	997	8313
75	1011	8301
76	1022	8274
77	1036	8264
78	1050	8261
79	1064	8252
80	1078	8242
81	1091	8225
82	1105	8220
83	1119	8209
84	1131	8189
85	1144	8174
86	1157	8157
87	1170	8143
88	1184	8131
89	1199	8130
90	1216	8138
91	1235	8165
92	1252	8172
93	1266	8164
94	1281	8163
95	1298	8167
96	1313	8166
97	1328	8161
98	1344	8161
99	1360	8162
100	1377	8167
101	1391	8157
102	1409	8169
103	1423	8157
104	1440	8161
105	1456	8164
106	1472	8160
107	1485	8144
108	1498	8125
109	1517	8138
110	1530	8123
111	1544	8106
112	1558	8095
113	1573	8087
114	1587	8076
115	1602	8066
116	1618	8066
117	1633	8057
118	1645	8035
119	1661	8029
120	1674	8010
121	1687	7995
122	1703	7989
123	1718	7981
124	1732	7968
125	1746	7956
126	1759	7938
127	1773	7924
128	1788	7915
129	1804	7910
130	1810	7864
131	1823	7845
132	1837	7832
133	1850	7817
134	1865	7807
135	1878	7791
136	1893	7781
137	1905	7760
138	1919	7748
139	1951	7806
140	1966	7795
141	1980	7783
142	1995	7770
143	2008	7754
144	2020	7733
145	2033	7714
146	2047	7702
147	2064	7699
148	2078	7686
149	2091	7669
150	2098	7628
151	2111	7612
152	2126	7601
153	2138	7582
154	2151	7565
155	2165	7550
156	2179	7537
157	2194	7528
158	2209	7518
159	2226	7514
160	2241	7505
161	2255	7489
162	2268	7473
163	2281	7456
164	2296	7445
165	2311	7434
166	2326	7424
167	2331	7383
168	2345	7368
169	2358	7354
170	2372	7341
171	2388	7331
172	2401	7314
173	2417	7307
174	2433	7300
175	2448	7288
176	2462	7277
177	2476	7263
178	2492	7256
179	2508	7246
180	2524	7239
181	2539	7226
182	2553	7213
183	2567	7200
184	2583	7191
185	2597	7177
186	2612	7166
187	2627	7154
188	2641	7142
189	2657	7133
190	2671	7119
191	2685	7105
192	2699	7091
193	2713	7078
194	2727	7062
195	2741	7050
196	2755	7035
197	2769	7020
198	2783	7007
199	2798	6996
200	2812	6983
201	2826	6967
202	2840	6953
203	2852	6935
204	2869	6929
205	2885	6919
206	2899	6906
207	2917	6901
208	2933	6891
209	2947	6878
210	2961	6862
211	2975	6850
212	2984	6823
213	2999	6810
214	3013	6798
215	3027	6782
216	3042	6771
217	3054	6753
218	3067	6736
219	3083	6726
220	3097	6714
221	3106	6688
222	3119	6672
223	3133	6658
224	3145	6640
225	3158	6625
226	3172	6610
227	3186	6597
228	3200	6582
229	3213	6566
230	3231	6560
231	3244	6545
232	3257	6529
233	3273	6519
234	3287	6505
235	3301	6490
236	3315	6477
237	3329	6462
238	3341	6445
239	3356	6433
240	3371	6420
241	3386	6409
242	3405	6404
243	3422	6396
244	3436	6381
245	3450	6367
246	3464	6354
247	3481	6345
248	3498	6337
249	3515	6327
250	3531	6317
251	3547	6306
252	3564	6297
253	3581	6289
254	3598	6280
255	3613	6266
256	3630	6258
257	3645	6246
258	3661	6234
259	3677	6224
260	3691	6208
261	3705	6194
262	3719	6180
263	3734	6167
264	3749	6154
265	3762	6138
266	3777	6125
267	3792	6113
268	3808	6102
269	3823	6090
270	3838	6076
271	3851	6060
272	3865	6046
273	3880	6032
274	3895	6020
275	3910	6007
276	3924	5992
277	3939	5979
278	3945	5953
279	3959	5939
280	3974	5927
281	3988	5911
282	4002	5898
283	4011	5875
284	4024	5860
285	4039	5847
286	4053	5832
287	4068	5820
288	4083	5807
289	4097	5793
290	4111	5778
291	4125	5763
292	4139	5749
293	4153	5736
294	4167	5721
295	4183	5709
296	4197	5695
297	4211	5681
298	4230	5673
299	4244	5659
300	4257	5643
301	4272	5630
302	4286	5615
303	4300	5602
304	4317	5591
305	4332	5578
306	4347	5565
307	4363	5553
308	4377	5539
309	4394	5529
310	4411	5517
311	4425	5503
312	4439	5488
313	4452	5473
314	4466	5458
315	4482	5447
316	4496	5432
317	4511	5419
318	4527	5406
319	4542	5394
320	4559	5383
321	4573	5368
322	4586	5353
323	4600	5338
324	4607	5316
325	4622	5302
326	4637	5289
327	4651	5275
328	4665	5260
329	4679	5246
330	4694	5232
331	4708	5219
332	4723	5206
333	4738	5192
334	4752	5177
335	4765	5162
336	4780	5148
337	4794	5135
338	4807	5119
339	4822	5105
